organism,scenario,month,slope_generation_per_year,slope_dd_per_year
Aedes aegypti,rcp45,12,0.004738371441425813,0.7581394306281298
Aedes aegypti,rcp60,1,0.0032790047987008106,0.5246407677921303
Aedes aegypti,rcp60,2,0.003316854119317524,0.5306966590908038
Aedes aegypti,rcp60,3,0.0022787682561893653,0.3646029209902985
Aedes aegypti,rcp60,4,0.002733838340556652,0.43741413448906563
Aedes aegypti,rcp60,5,0.005072644002284303,0.8116230403654885
Aedes aegypti,rcp60,6,0.0030293500541338026,0.4846960086614076
Aedes aegypti,rcp60,7,0.002508154371141215,0.4013046993825964
Aedes aegypti,rcp60,8,0.0032815216517143126,0.5250434642742909
Aedes aegypti,rcp60,9,0.0028014171639156953,0.4482267462265159
Aedes aegypti,rcp60,10,0.004693977202316422,0.7510363523706266
Aedes aegypti,rcp60,11,0.001299078185287859,0.20785250964605909
Aedes aegypti,rcp60,12,0.002879444802231275,0.46071116835700515
Aedes aegypti,rcp85,1,0.006010179822115647,0.9616287715385029
Aedes aegypti,rcp85,2,0.002328589940900504,0.3725743905440819
Aedes aegypti,rcp85,3,0.003976439966388587,0.6362303946221743
Aedes aegypti,rcp85,4,0.0036358502089315495,0.5817360334290462
Aedes aegypti,rcp85,5,0.004264915179144649,0.6823864286631404
Aedes aegypti,rcp85,6,0.004002385240100977,0.6403816384161506
Aedes aegypti,rcp85,7,0.0041746973286876845,0.6679515725900256
Aedes aegypti,rcp85,8,0.0032452142562381927,0.5192342809981098
Aedes aegypti,rcp85,9,0.004821987975161133,0.7715180760257828
Aedes aegypti,rcp85,10,0.004600014787232335,0.736002365957175
Aedes aegypti,rcp85,11,0.0038793720326323264,0.6206995252211712
Aedes aegypti,rcp85,12,0.0043345541714409005,0.6935286674305444
Aedes albopictus,historical,1,0.010302542592628148,1.9574830925993987
Aedes albopictus,historical,2,0.0293062865662173,5.5681944475812895
Aedes albopictus,historical,3,0.03507342714293331,6.663951157157431
Aedes albopictus,historical,4,0.03779160976596741,7.1804058555338885
Aedes albopictus,historical,5,0.039415315151153846,7.488909878719228
Aedes albopictus,historical,6,-0.0044956674073810725,-0.8541768074024484
Aedes albopictus,historical,7,0.006175496522830401,1.1733443393376792
Aedes albopictus,historical,8,-0.006701504564247854,-1.2732858672071665
Aedes albopictus,historical,9,0.01660232844287678,3.15444240414649
Aedes albopictus,historical,10,0.022335824380414017,4.243806632278507
Aedes albopictus,historical,11,0.0015333363988260008,0.29133391577676354
Aedes albopictus,historical,12,-0.011512239044655993,-2.187325418484665
Aedes albopictus,rcp26,1,0.004233691936959666,0.8044014680223359
Aedes albopictus,rcp26,2,0.005276353033180256,1.0025070763042485
Aedes albopictus,rcp26,3,0.006187236110221974,1.1755748609421741
Aedes albopictus,rcp26,4,0.006127055456712379,1.1641405367753517
Aedes albopictus,rcp26,5,0.0058919816416649175,1.119476511916338
Aedes albopictus,rcp26,6,0.006363682048752404,1.209099589262958
Aedes albopictus,rcp26,7,0.005563484241485708,1.057062005882284
Aedes albopictus,rcp26,8,0.005211570802090552,0.9901984523972097
Aedes albopictus,rcp26,9,0.0065807469808444085,1.2503419263604365
Aedes albopictus,rcp26,10,0.0060673403084973085,1.1527946586144873
Aedes albopictus,rcp26,11,0.005753961599639761,1.093252703931552
Aedes albopictus,rcp26,12,0.007030625115285858,1.3358187719043146
Aedes albopictus,rcp45,1,0.0047126225261424045,0.8953982799670579
Aedes albopictus,rcp45,2,0.003384940425667746,0.6431386808768698
Aedes albopictus,rcp45,3,0.004677023397480253,0.8886344455212485
Aedes albopictus,rcp45,4,0.005538180625287288,1.0522543188045845
Aedes albopictus,rcp45,5,0.005704101224124632,1.0837792325836801
Aedes albopictus,rcp45,6,0.004231669395655406,0.8040171851745281
Aedes albopictus,rcp45,7,0.004717482566145585,0.8963216875676598
Aedes albopictus,rcp45,8,0.005226175411141391,0.9929733281168646
Aedes albopictus,rcp45,9,0.004585692490111231,0.8712815731211365
Aedes albopictus,rcp45,10,0.005500522967454706,1.0450993638163966
Aedes albopictus,rcp45,11,0.0035215257871282573,0.6690898995543667
Aedes albopictus,rcp45,12,0.004216032840827841,0.8010462397572903
Aedes albopictus,rcp60,1,0.0029041822240097087,0.5517946225618423
Aedes albopictus,rcp60,2,0.0029028843259237182,0.5515480219255072
Aedes albopictus,rcp60,3,0.0019053565678825383,0.36201774789768415
Aedes albopictus,rcp60,4,0.002302179655205608,0.437414134489063
Aedes albopictus,rcp60,5,0.004271700212449935,0.8116230403654914
Aedes albopictus,rcp60,6,0.002551031624533716,0.4846960086614116
Aedes albopictus,rcp60,7,0.00211212999675053,0.4013046993825985
