model,scenario,season_year,season,count,interval_name,variable
ACCESS1-0,historical,2003,DJF,1,pr 50mm,Precipitation
ACCESS1-3,historical,2002,DJF,1,pr 50mm,Precipitation
ACCESS1-3,historical,2005,DJF,1,pr 50mm,Precipitation
BNU-ESM,historical,2003,DJF,1,pr 50mm,Precipitation
BNU-ESM,historical,2005,DJF,1,pr 50mm,Precipitation
CCSM4,historical,2000,DJF,1,pr 50mm,Precipitation
CCSM4,historical,2005,DJF,1,pr 50mm,Precipitation
CESM1-CAM5,historical,2000,DJF,2,pr 50mm,Precipitation
CESM1-CAM5,historical,2002,DJF,2,pr 50mm,Precipitation
CESM1-CAM5,historical,2003,DJF,1,pr 50mm,Precipitation
CESM1-CAM5,historical,2004,DJF,1,pr 50mm,Precipitation
CMCC-CESM,historical,2002,DJF,1,pr 50mm,Precipitation
CMCC-CESM,historical,2005,DJF,1,pr 50mm,Precipitation
CMCC-CM,historical,2000,DJF,2,pr 50mm,Precipitation
CMCC-CM,historical,2002,DJF,1,pr 50mm,Precipitation
CMCC-CM,historical,2004,DJF,2,pr 50mm,Precipitation
CMCC-CMS,historical,2000,DJF,2,pr 50mm,Precipitation
CNRM-CM5,historical,2000,DJF,2,pr 50mm,Precipitation
CNRM-CM5,historical,2002,DJF,1,pr 50mm,Precipitation
CSIRO-Mk3-6-0,historical,2005,DJF,2,pr 50mm,Precipitation
CanESM2,historical,2001,DJF,1,pr 50mm,Precipitation
CanESM2,historical,2003,DJF,1,pr 50mm,Precipitation
EC-EARTH,historical,2001,DJF,1,pr 50mm,Precipitation
EC-EARTH,historical,2004,DJF,1,pr 50mm,Precipitation
EC-EARTH,historical,2005,DJF,1,pr 50mm,Precipitation
FGOALS-g2,historical,2000,DJF,1,pr 50mm,Precipitation
FGOALS-g2,historical,2004,DJF,1,pr 50mm,Precipitation
GFDL-CM3,historical,2001,DJF,1,pr 50mm,Precipitation
GFDL-CM3,historical,2003,DJF,1,pr 50mm,Precipitation
GFDL-ESM2G,historical,2002,DJF,1,pr 50mm,Precipitation
GFDL-ESM2G,historical,2003,DJF,3,pr 50mm,Precipitation
GFDL-ESM2G,historical,2005,DJF,1,pr 50mm,Precipitation
GFDL-ESM2M,historical,2004,DJF,1,pr 50mm,Precipitation
IPSL-CM5A-LR,historical,2001,DJF,1,pr 50mm,Precipitation
IPSL-CM5A-LR,historical,2002,DJF,2,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2002,DJF,1,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2003,DJF,1,pr 50mm,Precipitation
