model,scenario,year,count,interval_name,variable
IPSL-CM5A-LR,historical,2004,2,pr 50mm,Precipitation
IPSL-CM5A-LR,historical,2005,1,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2000,5,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2001,7,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2002,12,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2003,4,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2004,7,pr 50mm,Precipitation
IPSL-CM5A-MR,historical,2005,16,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2000,16,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2001,9,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2002,7,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2003,5,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2004,5,pr 50mm,Precipitation
IPSL-CM5B-LR,historical,2005,11,pr 50mm,Precipitation
MIROC-ESM,historical,2000,5,pr 50mm,Precipitation
MIROC-ESM,historical,2001,9,pr 50mm,Precipitation
MIROC-ESM,historical,2002,11,pr 50mm,Precipitation
MIROC-ESM,historical,2003,4,pr 50mm,Precipitation
MIROC-ESM,historical,2004,6,pr 50mm,Precipitation
MIROC-ESM,historical,2005,10,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2000,20,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2001,14,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2002,6,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2003,10,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2004,11,pr 50mm,Precipitation
MIROC-ESM-CHEM,historical,2005,11,pr 50mm,Precipitation
MIROC5,historical,2000,6,pr 50mm,Precipitation
MIROC5,historical,2001,9,pr 50mm,Precipitation
MIROC5,historical,2002,8,pr 50mm,Precipitation
MIROC5,historical,2003,3,pr 50mm,Precipitation
MIROC5,historical,2004,10,pr 50mm,Precipitation
MIROC5,historical,2005,10,pr 50mm,Precipitation
MPI-ESM-LR,historical,2000,12,pr 50mm,Precipitation
MPI-ESM-LR,historical,2001,6,pr 50mm,Precipitation
MPI-ESM-LR,historical,2002,5,pr 50mm,Precipitation
MPI-ESM-LR,historical,2003,11,pr 50mm,Precipitation
MPI-ESM-LR,historical,2004,8,pr 50mm,Precipitation
MPI-ESM-LR,historical,2005,5,pr 50mm,Precipitation
MPI-ESM-MR,historical,2000,7,pr 50mm,Precipitation
MPI-ESM-MR,historical,2001,8,pr 50mm,Precipitation
MPI-ESM-MR,historical,2002,7,pr 50mm,Precipitation
MPI-ESM-MR,historical,2003,12,pr 50mm,Precipitation
MPI-ESM-MR,historical,2004,9,pr 50mm,Precipitation
MPI-ESM-MR,historical,2005,8,pr 50mm,Precipitation
MRI-CGCM3,historical,2000,4,pr 50mm,Precipitation
