model,scenario,year,count,interval_name,variable
ACCESS1-0,historical,2000,52,Tmax 26–29°C,tmax
ACCESS1-0,historical,2001,54,Tmax 26–29°C,tmax
ACCESS1-0,historical,2002,50,Tmax 26–29°C,tmax
ACCESS1-0,historical,2003,49,Tmax 26–29°C,tmax
ACCESS1-0,historical,2004,61,Tmax 26–29°C,tmax
ACCESS1-0,historical,2005,58,Tmax 26–29°C,tmax
ACCESS1-3,historical,2000,58,Tmax 26–29°C,tmax
ACCESS1-3,historical,2001,60,Tmax 26–29°C,tmax
ACCESS1-3,historical,2002,42,Tmax 26–29°C,tmax
ACCESS1-3,historical,2003,51,Tmax 26–29°C,tmax
ACCESS1-3,historical,2004,71,Tmax 26–29°C,tmax
ACCESS1-3,historical,2005,47,Tmax 26–29°C,tmax
BNU-ESM,historical,2000,39,Tmax 26–29°C,tmax
BNU-ESM,historical,2001,48,Tmax 26–29°C,tmax
BNU-ESM,historical,2002,48,Tmax 26–29°C,tmax
BNU-ESM,historical,2003,56,Tmax 26–29°C,tmax
BNU-ESM,historical,2004,39,Tmax 26–29°C,tmax
BNU-ESM,historical,2005,65,Tmax 26–29°C,tmax
CCSM4,historical,2000,43,Tmax 26–29°C,tmax
CCSM4,historical,2001,55,Tmax 26–29°C,tmax
CCSM4,historical,2002,58,Tmax 26–29°C,tmax
CCSM4,historical,2003,49,Tmax 26–29°C,tmax
CCSM4,historical,2004,56,Tmax 26–29°C,tmax
CCSM4,historical,2005,56,Tmax 26–29°C,tmax
CESM1-BGC,historical,2000,62,Tmax 26–29°C,tmax
CESM1-BGC,historical,2001,54,Tmax 26–29°C,tmax
CESM1-BGC,historical,2002,38,Tmax 26–29°C,tmax
CESM1-BGC,historical,2003,46,Tmax 26–29°C,tmax
CESM1-BGC,historical,2004,47,Tmax 26–29°C,tmax
CESM1-BGC,historical,2005,37,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2000,42,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2001,52,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2002,61,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2003,62,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2004,37,Tmax 26–29°C,tmax
CESM1-CAM5,historical,2005,55,Tmax 26–29°C,tmax
CMCC-CESM,historical,2000,59,Tmax 26–29°C,tmax
CMCC-CESM,historical,2001,49,Tmax 26–29°C,tmax
CMCC-CESM,historical,2002,31,Tmax 26–29°C,tmax
CMCC-CESM,historical,2003,36,Tmax 26–29°C,tmax
CMCC-CESM,historical,2004,39,Tmax 26–29°C,tmax
CMCC-CESM,historical,2005,60,Tmax 26–29°C,tmax
