model,scenario,year,n_days,n_valid
CESM1-BGC,rcp85,2009,365,365
CESM1-BGC,rcp85,2010,365,365
CESM1-BGC,rcp85,2011,365,365
CESM1-BGC,rcp85,2012,365,365
CESM1-BGC,rcp85,2013,365,365
CESM1-BGC,rcp85,2014,365,365
CESM1-BGC,rcp85,2015,365,365
CESM1-BGC,rcp85,2016,365,365
CESM1-BGC,rcp85,2017,365,365
CESM1-BGC,rcp85,2018,365,365
CESM1-BGC,rcp85,2019,365,365
CESM1-BGC,rcp85,2020,365,365
CESM1-BGC,rcp85,2021,365,365
CESM1-BGC,rcp85,2022,365,365
CESM1-BGC,rcp85,2023,365,365
CESM1-BGC,rcp85,2024,365,365
CESM1-BGC,rcp85,2025,365,365
CESM1-BGC,rcp85,2026,365,365
CESM1-BGC,rcp85,2027,365,365
CESM1-BGC,rcp85,2028,365,365
CESM1-BGC,rcp85,2029,365,365
CESM1-BGC,rcp85,2030,365,365
CESM1-BGC,rcp85,2031,365,365
CESM1-BGC,rcp85,2032,365,365
CESM1-BGC,rcp85,2033,365,365
CESM1-BGC,rcp85,2034,365,365
CESM1-BGC,rcp85,2035,365,365
CESM1-BGC,rcp85,2036,365,365
CESM1-CAM5,historical,2000,365,365
CESM1-CAM5,historical,2001,365,365
CESM1-CAM5,historical,2002,365,365
CESM1-CAM5,historical,2003,365,365
CESM1-CAM5,historical,2004,365,365
CESM1-CAM5,historical,2005,365,365
CESM1-CAM5,rcp26,2006,365,365
CESM1-CAM5,rcp26,2007,365,365
CESM1-CAM5,rcp26,2008,365,365
CESM1-CAM5,rcp26,2009,365,365
CESM1-CAM5,rcp26,2010,365,365
CESM1-CAM5,rcp26,2011,365,365
CESM1-CAM5,rcp26,2012,365,365
CESM1-CAM5,rcp26,2013,365,365
CESM1-CAM5,rcp26,2014,365,365
CESM1-CAM5,rcp26,2015,365,365
CESM1-CAM5,rcp26,2016,365,365
CESM1-CAM5,rcp26,2017,365,365
CESM1-CAM5,rcp26,2018,365,365
CESM1-CAM5,rcp26,2019,365,365
