organism,scenario,month,baseline_monthly_dd,baseline_monthly_generation,slope_dd_per_year,slope_generation_per_year,relative_dd_trend_percent_per_year,relative_generation_trend_percent_per_year,total_dd_relative_change_percent,total_generation_relative_change_percent
Aedes aegypti,rcp26,1,159.7844590177303,0.9986528688608144,0.7753864004126836,0.004846165002579271,0.4852702228860966,0.48527022288609656,14.558106686582931,14.558106686582933
Aedes aegypti,rcp26,2,187.83505859636824,1.1739691162273014,0.9702277028274303,0.006063923142671436,0.5165317433697596,0.5165317433697594,15.495952301092682,15.495952301092778
Aedes aegypti,rcp26,3,223.94391705341442,1.39964948158384,1.1545051262491706,0.007215657039057318,0.515533148405992,0.5155331484059922,15.465994452179817,15.465994452179716
Aedes aegypti,rcp26,4,361.0930342101973,2.256831463813733,1.1641405367753537,0.007275878354845971,0.32239351814737344,0.3223935181473739,9.671805544421236,9.671805544421206
Aedes aegypti,rcp26,5,482.43745250783667,3.015234078173979,1.1194765119163337,0.0069967281994770866,0.23204593799610718,0.23204593799610726,6.961378139883252,6.961378139883265
Aedes aegypti,rcp26,6,514.2093016210556,3.2138081351315977,1.2090995892629588,0.00755687243289348,0.2351376347046323,0.23513763470463192,7.054129041139011,7.054129041138989
Aedes aegypti,rcp26,7,589.6925565264446,3.685578478290279,1.0570620058822853,0.006606637536764295,0.17925646070706025,0.17925646070706058,5.37769382121183,5.37769382121184
Aedes aegypti,rcp26,8,576.3692423059115,3.6023077644119468,0.9901984523972068,0.006188740327482529,0.17179932232949605,0.17179932232949563,5.153979669884901,5.153979669884842
Aedes aegypti,rcp26,9,521.5856307687641,3.2599101923047757,1.250341926360434,0.007814637039752746,0.23971939650974614,0.23971939650974713,7.191581895292434,7.191581895292412
Aedes aegypti,rcp26,10,404.38335148813997,2.527395946800875,1.1527946586144888,0.00720496661634055,0.285074708039334,0.2850747080393338,8.552241241179942,8.55224124118004
Aedes aegypti,rcp26,11,364.2946886877299,2.2768418042983116,1.0932527039315543,0.006832829399572206,0.30010119221603054,0.3001011922160302,9.003035766480942,9.003035766480957
Aedes aegypti,rcp26,12,232.56118559176895,1.4535074099485557,1.2963698478152363,0.008102311548845203,0.5574317332948439,0.5574317332948423,16.722951998845442,16.7229519988454
Aedes aegypti,rcp45,1,159.7844590177303,0.9986528688608144,0.8529241304341605,0.005330775815213507,0.5337966756451056,0.533796675645106,16.013900269353286,16.01390026935318
Aedes aegypti,rcp45,2,187.83505859636824,1.1739691162273014,0.5979409543008869,0.0037371309643805437,0.3183329878719712,0.3183329878719713,9.549989636159092,9.549989636159124
Aedes aegypti,rcp45,3,223.94391705341442,1.39964948158384,0.8807605349831897,0.005504753343644939,0.39329513682352596,0.39329513682352624,11.798854104705747,11.7988541047058
Aedes aegypti,rcp45,4,361.0930342101973,2.256831463813733,1.0522543188045825,0.0065765894925286505,0.29140809129872347,0.29140809129872397,8.742242738961686,8.742242738961734
Aedes aegypti,rcp45,5,482.43745250783667,3.015234078173979,1.0837792325836797,0.006773620203648008,0.22464657893990408,0.22464657893990447,6.739397368197091,6.739397368197126
Aedes aegypti,rcp45,6,514.2093016210556,3.2138081351315977,0.8040171851745297,0.005025107407340791,0.15635990687835646,0.15635990687835585,4.6907972063506955,4.690797206350695
Aedes aegypti,rcp45,7,589.6925565264446,3.685578478290279,0.8963216875676616,0.0056020105472979155,0.151998134900566,0.1519981349005668,4.559944047016976,4.559944047017014
Aedes aegypti,rcp45,8,576.3692423059115,3.6023077644119468,0.9929733281168649,0.006206083300730417,0.17228076296094896,0.1722807629609493,5.168422888828502,5.168422888828472
Aedes aegypti,rcp45,9,521.5856307687641,3.2599101923047757,0.8712815731211343,0.005445509832007119,0.16704478070781092,0.1670447807078118,5.011343421234359,5.011343421234402
Aedes aegypti,rcp45,10,404.38335148813997,2.527395946800875,1.045099363816397,0.006531871023852478,0.25844272766680615,0.258442727666806,7.753281830004215,7.753281830004173
Aedes aegypti,rcp45,11,364.2946886877299,2.2768418042983116,0.6691615774217519,0.004182259858885945,0.18368688817073342,0.18368688817073325,5.510606645122031,5.510606645122
Aedes aegypti,rcp45,12,232.56118559176895,1.4535074099485557,0.7581394306281298,0.004738371441425813,0.32599568526406875,0.3259956852640689,9.779870557922102,9.779870557922179
Aedes aegypti,rcp60,1,159.7844590177303,0.9986528688608144,0.5246407677921303,0.0032790047987008106,0.32834280068120647,0.32834280068120614,9.850284020436185,9.850284020436202
Aedes aegypti,rcp60,2,187.83505859636824,1.1739691162273014,0.5306966590908038,0.003316854119317524,0.28253333699072547,0.2825333369907256,8.476000109721795,8.47600010972175
Aedes aegypti,rcp60,3,223.94391705341442,1.39964948158384,0.3646029209902985,0.0022787682561893653,0.16280992392543286,0.16280992392543286,4.884297717763007,4.8842977177629825
Aedes aegypti,rcp60,4,361.0930342101973,2.256831463813733,0.43741413448906563,0.002733838340556652,0.12113613197933935,0.121136131979339,3.6340839593801917,3.6340839593801766
Aedes aegypti,rcp60,5,482.43745250783667,3.015234078173979,0.8116230403654885,0.005072644002284303,0.16823383759831634,0.16823383759831637,5.0470151279494555,5.0470151279495274
Aedes aegypti,rcp60,6,514.2093016210556,3.2138081351315977,0.4846960086614076,0.0030293500541338026,0.09426045136355823,0.09426045136355839,2.827813540906741,2.8278135409067686
Aedes aegypti,rcp60,7,589.6925565264446,3.685578478290279,0.4013046993825964,0.002508154371141215,0.06805320754707542,0.06805320754707507,2.0415962264122616,2.041596226412242
Aedes aegypti,rcp60,8,576.3692423059115,3.6023077644119468,0.5250434642742909,0.0032815216517143126,0.09109498316976826,0.0910949831697681,2.732849495093044,2.732849495093044
Aedes aegypti,rcp60,9,521.5856307687641,3.2599101923047757,0.4482267462265159,0.0028014171639156953,0.0859354092185928,0.0859354092185919,2.5780622765577714,2.5780622765577497
Aedes aegypti,rcp60,10,404.38335148813997,2.527395946800875,0.7510363523706266,0.004693977202316422,0.18572385574401015,0.18572385574401037,5.571715672320289,5.571715672320318
Aedes aegypti,rcp60,11,364.2946886877299,2.2768418042983116,0.20785250964605909,0.001299078185287859,0.057056146054390695,0.05705614605439025,1.7116843816317167,1.711684381631705
Aedes aegypti,rcp60,12,232.56118559176895,1.4535074099485557,0.46071116835700515,0.002879444802231275,0.19810320762886202,0.19810320762886155,5.943096228865887,5.943096228865839
Aedes aegypti,rcp85,1,159.7844590177303,0.9986528688608144,0.9616287715385029,0.006010179822115647,0.6018287244266958,0.6018287244266963,18.054861732800852,18.05486173280082
Aedes aegypti,rcp85,2,187.83505859636824,1.1739691162273014,0.3725743905440819,0.002328589940900504,0.19835189092399047,0.19835189092398983,5.950556727719719,5.950556727719659
Aedes aegypti,rcp85,3,223.94391705341442,1.39964948158384,0.6362303946221743,0.003976439966388587,0.28410255701226417,0.28410255701226406,8.523076710368002,8.523076710367926
Aedes aegypti,rcp85,4,361.0930342101973,2.256831463813733,0.5817360334290462,0.0036358502089315495,0.16110419706695578,0.16110419706695625,4.833125912008679,4.833125912008688
Aedes aegypti,rcp85,5,482.43745250783667,3.015234078173979,0.6823864286631404,0.004264915179144649,0.14144557498923777,0.1414455749892385,4.243367249677118,4.243367249677166
Aedes aegypti,rcp85,6,514.2093016210556,3.2138081351315977,0.6403816384161506,0.004002385240100977,0.12453715566741676,0.12453715566741787,3.7361146700224834,3.73611467002255
Aedes aegypti,rcp85,7,589.6925565264446,3.685578478290279,0.6679515725900256,0.0041746973286876845,0.113271155485591,0.11327115548559165,3.398134664567739,3.3981346645677384
Aedes aegypti,rcp85,8,576.3692423059115,3.6023077644119468,0.5192342809981098,0.0032452142562381927,0.09008709051176658,0.09008709051176678,2.702612715353001,2.702612715353001
Aedes aegypti,rcp85,9,521.5856307687641,3.2599101923047757,0.7715180760257828,0.004821987975161133,0.14791781646450725,0.14791781646450694,4.43753449393522,4.43753449393523
Aedes aegypti,rcp85,10,404.38335148813997,2.527395946800875,0.736002365957175,0.004600014787232335,0.18200609971915746,0.18200609971915713,5.460182991574707,5.460182991574735
Aedes aegypti,rcp85,11,364.2946886877299,2.2768418042983116,0.6206995252211712,0.0038793720326323264,0.17038390745060497,0.17038390745060528,5.111517223518122,5.111517223518177
Aedes aegypti,rcp85,12,232.56118559176895,1.4535074099485557,0.6935286674305444,0.0043345541714409005,0.2982134209824438,0.29821342098244374,8.946402629473377,8.946402629473281
Aedes albopictus,rcp26,1,254.93573343187404,1.341767018062495,0.8044014680223359,0.004233691936959666,0.3155310780461047,0.3155310780461049,9.465932341383132,9.465932341383036
Aedes albopictus,rcp26,2,275.1949027596265,1.4483942250506658,1.0025070763042485,0.005276353033180256,0.3642898419451849,0.3642898419451849,10.928695258355534,10.92869525835546
Aedes albopictus,rcp26,3,322.7581346100349,1.6987270242633417,1.1755748609421741,0.006187236110221974,0.3642278024572596,0.36422780245725994,10.926834073717721,10.92683407371784
Aedes albopictus,rcp26,4,457.09303421019735,2.4057528116326172,1.1641405367753517,0.006127055456712379,0.2546834997796124,0.2546834997796125,7.640504993388412,7.640504993388385
Aedes albopictus,rcp26,5,581.6374525078367,3.061249750041245,1.119476511916338,0.0058919816416649175,0.19246981209506187,0.19246981209506125,5.774094362851865,5.774094362851854
Aedes albopictus,rcp26,6,610.2093016210556,3.211627903268714,1.209099589262958,0.006363682048752404,0.19814506039991792,0.19814506039991772,5.944351811997577,5.944351811997578
Aedes albopictus,rcp26,7,688.8925565264447,3.6257502975076035,1.057062005882284,0.005563484241485708,0.15344366779229474,0.15344366779229482,4.603310033768867,4.603310033768821
Aedes albopictus,rcp26,8,675.5692423059116,3.555627591083745,0.9901984523972097,0.005211570802090552,0.14657245925190115,0.14657245925190046,4.397173777557006,4.397173777556995
Aedes albopictus,rcp26,9,617.5856307687642,3.2504506882566533,1.2503419263604365,0.0065807469808444085,0.20245644718191125,0.20245644718191147,6.073693415457368,6.0736934154573445
Aedes albopictus,rcp26,10,503.58335148814,2.650438692042842,1.1527946586144873,0.0060673403084973085,0.22891834196024588,0.22891834196024616,6.867550258807323,6.867550258807367
Aedes albopictus,rcp26,11,460.29468868772994,2.422603624672263,1.093252703931552,0.005753961599639761,0.2375114748876082,0.2375114748876087,7.125344246628281,7.125344246628215
Aedes albopictus,rcp26,12,330.7604755763256,1.7408446082964504,1.3358187719043146,0.007030625115285858,0.40386287677714505,0.4038628767771445,12.11588630331435,12.115886303314296
Aedes albopictus,rcp45,1,254.93573343187404,1.341767018062495,0.8953982799670579,0.0047126225261424045,0.3512250981506025,0.3512250981506021,10.536752944518051,10.536752944518092
Aedes albopictus,rcp45,2,275.1949027596265,1.4483942250506658,0.6431386808768698,0.003384940425667746,0.23370297720907637,0.23370297720907707,7.011089316272261,7.011089316272287
Aedes albopictus,rcp45,3,322.7581346100349,1.6987270242633417,0.8886344455212485,0.004677023397480253,0.27532518943168405,0.275325189431684,8.259755682950527,8.259755682950534
Aedes albopictus,rcp45,4,457.09303421019735,2.4057528116326172,1.0522543188045845,0.005538180625287288,0.23020572182263846,0.23020572182263854,6.906171654679125,6.9061716546791745
Aedes albopictus,rcp45,5,581.6374525078367,3.061249750041245,1.0837792325836801,0.005704101224124632,0.18633243576574496,0.18633243576574496,5.58997307297232,5.589973072972331
Aedes albopictus,rcp45,6,610.2093016210556,3.211627903268714,0.8040171851745281,0.004231669395655406,0.13176088647593717,0.131760886475937,3.952826594278124,3.9528265942781062
Aedes albopictus,rcp45,7,688.8925565264447,3.6257502975076035,0.8963216875676598,0.004717482566145585,0.13011052000432705,0.13011052000432724,3.903315600129783,3.903315600129805
Aedes albopictus,rcp45,8,675.5692423059116,3.555627591083745,0.9929733281168646,0.005226175411141391,0.1469832055597383,0.14698320555973826,4.409496166792179,4.4094961667921195
Aedes albopictus,rcp45,9,617.5856307687642,3.2504506882566533,0.8712815731211365,0.004585692490111231,0.14107866661932764,0.14107866661932722,4.232359998579844,4.232359998579798
Aedes albopictus,rcp45,10,503.58335148814,2.650438692042842,1.0450993638163966,0.005500522967454706,0.20753254862934242,0.20753254862934195,6.2259764588803,6.225976458880225
