organism,scenario,month,baseline_monthly_dd,baseline_monthly_generation,slope_dd_per_year,slope_generation_per_year,relative_dd_trend_percent_per_year,relative_generation_trend_percent_per_year,total_dd_relative_change_percent,total_generation_relative_change_percent
Aedes aegypti,rcp26,1,178.39377244849223,1.1149610778030765,0.7753864004126836,0.004846165002579271,0.43464880515185106,0.434648805151851,13.908761764859268,13.908761764859264
Aedes aegypti,rcp26,2,214.57999667088714,1.3411249791930446,0.9702277028274303,0.006063923142671436,0.45215197962535186,0.4521519796253516,14.468863348011249,14.468863348011169
Aedes aegypti,rcp26,3,247.74832414292666,1.548427025893292,1.1545051262491706,0.007215657039057318,0.46599916679280284,0.46599916679280284,14.91197333736977,14.911973337369652
Aedes aegypti,rcp26,4,385.72833554970674,2.4108020971856674,1.1641405367753537,0.007275878354845971,0.3018032199050975,0.3018032199050979,9.6577030369632,9.65770303696317
Aedes aegypti,rcp26,5,508.51641723573107,3.1782276077233194,1.1194765119163337,0.0069967281994770866,0.2201455988386275,0.2201455988386275,7.04465916283607,7.044659162836103
Aedes aegypti,rcp26,6,535.7321536544273,3.348325960340171,1.2090995892629588,0.00755687243289348,0.2256910624115508,0.2256910624115504,7.222113997169647,7.222113997169624
Aedes aegypti,rcp26,7,607.8289436020118,3.7989308975125735,1.0570620058822853,0.006606637536764295,0.17390781024972346,0.17390781024972377,5.565049927991159,5.565049927991187
Aedes aegypti,rcp26,8,596.3132360797325,3.7269577254983273,0.9901984523972068,0.006188740327482529,0.1660534082568659,0.16605340825686557,5.3137090642197204,5.313709064219683
Aedes aegypti,rcp26,9,549.7825457077271,3.4361409106732936,1.250341926360434,0.007814637039752746,0.2274248129778087,0.2274248129778097,7.27759401528988,7.2775940152899325
Aedes aegypti,rcp26,10,432.7640556343293,2.7047753477145577,1.1527946586144888,0.00720496661634055,0.2663794840643051,0.26637948406430495,8.524143490057716,8.524143490057783
Aedes aegypti,rcp26,11,386.15792084577373,2.4134870052860853,1.0932527039315543,0.006832829399572206,0.28311026264515876,0.2831102626451585,9.059528404645082,9.059528404645128
Aedes aegypti,rcp26,12,258.196848279018,1.6137303017438627,1.2963698478152363,0.008102311548845203,0.5020858528893917,0.5020858528893902,16.066747292460608,16.06674729246052
Aedes aegypti,rcp45,1,176.28013437723268,1.1017508398577038,0.8529241304341605,0.005330775815213507,0.48384585900583427,0.4838458590058349,15.483067488186709,15.483067488186746
Aedes aegypti,rcp45,2,209.07037995342324,1.3066898747088953,0.5979409543008869,0.0037371309643805437,0.2859998410267855,0.28599984102678555,9.15199491285705,9.15199491285716
Aedes aegypti,rcp45,3,242.9901939751149,1.518688712344468,0.8807605349831897,0.005504753343644939,0.36246752207349986,0.36246752207350014,11.598960706351983,11.598960706351964
Aedes aegypti,rcp45,4,380.14346561797316,2.375896660112333,1.0522543188045825,0.0065765894925286505,0.27680452617908474,0.2768045261790851,8.857744837730621,8.857744837730722
Aedes aegypti,rcp45,5,504.85870436637094,3.1553669022898183,1.0837792325836797,0.006773620203648008,0.21466981220892092,0.21466981220892123,6.869433990685472,6.869433990685439
Aedes aegypti,rcp45,6,540.5037779184936,3.3781486119905852,0.8040171851745297,0.005025107407340791,0.1487532960955128,0.14875329609551222,4.7601054750564105,4.7601054750564
Aedes aegypti,rcp45,7,610.0546353166359,3.8128414707289746,0.8963216875676616,0.0056020105472979155,0.1469248220862128,0.1469248220862136,4.701594306758783,4.701594306758839
Aedes aegypti,rcp45,8,594.7009116444042,3.716880697777526,0.9929733281168649,0.006206083300730417,0.16697020446314767,0.166970204463148,5.343046542820742,5.3430465428207325
Aedes aegypti,rcp45,9,551.0058787928583,3.443786742455364,0.8712815731211343,0.005445509832007119,0.1581256401528664,0.15812564015286726,5.060020484891745,5.060020484891776
Aedes aegypti,rcp45,10,426.4726474079233,2.6654540462995207,1.045099363816397,0.006531871023852478,0.24505659862794296,0.24505659862794285,7.841811156094234,7.841811156094194
Aedes aegypti,rcp45,11,384.6543202902123,2.404089501813827,0.6691615774217519,0.004182259858885945,0.17396439923432702,0.17396439923432683,5.566860775498482,5.566860775498437
Aedes aegypti,rcp45,12,254.0346797893722,1.5877167486835766,0.7581394306281298,0.004738371441425813,0.2984393435009448,0.2984393435009449,9.550058992030197,9.55005899203033
Aedes aegypti,rcp60,1,184.70977066776925,1.1544360666735578,0.5246407677921303,0.0032790047987008106,0.2840352006801971,0.28403520068019683,9.089126421766396,9.089126421766274
Aedes aegypti,rcp60,2,210.7628678676541,1.3172679241728382,0.5306966590908038,0.003316854119317524,0.25179798721663255,0.25179798721663255,8.057535590932298,8.05753559093227
Aedes aegypti,rcp60,3,257.99702762506996,1.6124814226566875,0.3646029209902985,0.0022787682561893653,0.14132058975506953,0.14132058975506948,4.522258872162206,4.522258872162271
Aedes aegypti,rcp60,4,389.9535129883336,2.4372094561770847,0.43741413448906563,0.002733838340556652,0.11217084086178034,0.11217084086178003,3.5894669075769854,3.5894669075769645
Aedes aegypti,rcp60,5,502.3023259736892,3.139389537335558,0.8116230403654885,0.005072644002284303,0.1615805857144292,0.1615805857144292,5.170578742861742,5.170578742861729
Aedes aegypti,rcp60,6,530.4625783295764,3.315391114559853,0.4846960086614076,0.0030293500541338026,0.09137232831535685,0.091372328315357,2.9239145060914273,2.923914506091443
Aedes aegypti,rcp60,7,609.1964603055634,3.807477876909771,0.4013046993825964,0.002508154371141215,0.06587443058702414,0.0658744305870238,2.1079817787847883,2.107981778784761
Aedes aegypti,rcp60,8,595.6859788478637,3.7230373677991486,0.5250434642742909,0.0032815216517143126,0.0881409808049864,0.08814098080498625,2.820511385759562,2.8205113857595756
