organism,scenario,month,baseline_monthly_dd,baseline_monthly_generation,slope_dd_per_year,slope_generation_per_year,relative_dd_trend_percent_per_year,relative_generation_trend_percent_per_year,total_dd_relative_change_percent,total_generation_relative_change_percent
Aedes aegypti,rcp26,1,,,0.7753864004126836,0.004846165002579271,,,,
Aedes aegypti,rcp26,2,,,0.9702277028274303,0.006063923142671436,,,,
Aedes aegypti,rcp26,3,,,1.1545051262491706,0.007215657039057318,,,,
Aedes aegypti,rcp26,4,,,1.1641405367753537,0.007275878354845971,,,,
Aedes aegypti,rcp26,5,,,1.1194765119163337,0.0069967281994770866,,,,
Aedes aegypti,rcp26,6,,,1.2090995892629588,0.00755687243289348,,,,
Aedes aegypti,rcp26,7,,,1.0570620058822853,0.006606637536764295,,,,
Aedes aegypti,rcp26,8,,,0.9901984523972068,0.006188740327482529,,,,
Aedes aegypti,rcp26,9,,,1.250341926360434,0.007814637039752746,,,,
Aedes aegypti,rcp26,10,,,1.1527946586144888,0.00720496661634055,,,,
Aedes aegypti,rcp26,11,,,1.0932527039315543,0.006832829399572206,,,,
Aedes aegypti,rcp26,12,,,1.2963698478152363,0.008102311548845203,,,,
Aedes aegypti,rcp45,1,,,0.8529241304341605,0.005330775815213507,,,,
Aedes aegypti,rcp45,2,,,0.5979409543008869,0.0037371309643805437,,,,
Aedes aegypti,rcp45,3,,,0.8807605349831897,0.005504753343644939,,,,
Aedes aegypti,rcp45,4,,,1.0522543188045825,0.0065765894925286505,,,,
Aedes aegypti,rcp45,5,,,1.0837792325836797,0.006773620203648008,,,,
Aedes aegypti,rcp45,6,,,0.8040171851745297,0.005025107407340791,,,,
Aedes aegypti,rcp45,7,,,0.8963216875676616,0.0056020105472979155,,,,
Aedes aegypti,rcp45,8,,,0.9929733281168649,0.006206083300730417,,,,
Aedes aegypti,rcp45,9,,,0.8712815731211343,0.005445509832007119,,,,
Aedes aegypti,rcp45,10,,,1.045099363816397,0.006531871023852478,,,,
Aedes aegypti,rcp45,11,,,0.6691615774217519,0.004182259858885945,,,,
Aedes aegypti,rcp45,12,,,0.7581394306281298,0.004738371441425813,,,,
Aedes aegypti,rcp60,1,,,0.5246407677921303,0.0032790047987008106,,,,
Aedes aegypti,rcp60,2,,,0.5306966590908038,0.003316854119317524,,,,
Aedes aegypti,rcp60,3,,,0.3646029209902985,0.0022787682561893653,,,,
Aedes aegypti,rcp60,4,,,0.43741413448906563,0.002733838340556652,,,,
Aedes aegypti,rcp60,5,,,0.8116230403654885,0.005072644002284303,,,,
Aedes aegypti,rcp60,6,,,0.4846960086614076,0.0030293500541338026,,,,
Aedes aegypti,rcp60,7,,,0.4013046993825964,0.002508154371141215,,,,
Aedes aegypti,rcp60,8,,,0.5250434642742909,0.0032815216517143126,,,,
Aedes aegypti,rcp60,9,,,0.4482267462265159,0.0028014171639156953,,,,
Aedes aegypti,rcp60,10,,,0.7510363523706266,0.004693977202316422,,,,
Aedes aegypti,rcp60,11,,,0.20785250964605909,0.001299078185287859,,,,
Aedes aegypti,rcp60,12,,,0.46071116835700515,0.002879444802231275,,,,
