model,scenario,year,gen_count
bcc-csm1-1,rcp26,2018,8.443213692307692
bcc-csm1-1,rcp26,2019,7.968882923076923
bcc-csm1-1,rcp26,2020,7.45728523076923
bcc-csm1-1,rcp26,2021,7.9140483076923065
bcc-csm1-1,rcp26,2022,7.695847846153845
bcc-csm1-1,rcp26,2023,8.187094153846154
bcc-csm1-1,rcp26,2024,8.107592461538463
bcc-csm1-1,rcp26,2025,8.228380769230768
bcc-csm1-1,rcp26,2026,7.930662153846153
bcc-csm1-1,rcp26,2027,8.010081538461538
bcc-csm1-1,rcp26,2028,8.246004153846155
bcc-csm1-1,rcp26,2029,7.926210307692307
bcc-csm1-1,rcp26,2030,7.5894063076923075
bcc-csm1-1,rcp26,2031,7.593072461538461
bcc-csm1-1,rcp26,2032,8.124574153846154
bcc-csm1-1,rcp26,2033,8.999552923076923
bcc-csm1-1,rcp26,2034,8.386196307692307
bcc-csm1-1,rcp26,2035,8.306462
bcc-csm1-1,rcp26,2036,8.039498461538463
BNU-ESM,rcp26,2006,7.459842461538461
BNU-ESM,rcp26,2007,7.562164307692307
BNU-ESM,rcp26,2008,7.785978461538463
BNU-ESM,rcp26,2009,7.621924615384616
BNU-ESM,rcp26,2010,7.159479076923075
BNU-ESM,rcp26,2011,7.254906461538461
BNU-ESM,rcp26,2012,7.431113538461538
BNU-ESM,rcp26,2013,7.147256769230769
BNU-ESM,rcp26,2014,7.31036476923077
BNU-ESM,rcp26,2015,7.433000769230769
BNU-ESM,rcp26,2016,7.489944153846154
BNU-ESM,rcp26,2017,7.57719123076923
BNU-ESM,rcp26,2018,7.223213076923076
BNU-ESM,rcp26,2019,7.762770153846153
BNU-ESM,rcp26,2020,7.204812769230769
BNU-ESM,rcp26,2021,7.79028476923077
BNU-ESM,rcp26,2022,7.314363692307692
BNU-ESM,rcp26,2023,7.326980615384614
BNU-ESM,rcp26,2024,7.374427538461537
BNU-ESM,rcp26,2025,8.062678
BNU-ESM,rcp26,2026,7.830559384615386
BNU-ESM,rcp26,2027,7.831942307692308
BNU-ESM,rcp26,2028,7.569561076923078
BNU-ESM,rcp26,2029,7.780642769230769
BNU-ESM,rcp26,2030,7.614787230769231
BNU-ESM,rcp26,2031,7.617883692307692
BNU-ESM,rcp26,2032,7.566885999999999
BNU-ESM,rcp26,2033,8.216339692307693
BNU-ESM,rcp26,2034,7.6527607692307695
BNU-ESM,rcp26,2035,7.410405846153846
BNU-ESM,rcp26,2036,8.175725846153847
CanESM2,rcp26,2006,7.636345846153845
CanESM2,rcp26,2007,7.601489384615385
CanESM2,rcp26,2008,7.700365692307692
CanESM2,rcp26,2009,7.769326923076923
CanESM2,rcp26,2010,7.689213076923076
CanESM2,rcp26,2011,7.410482
CanESM2,rcp26,2012,7.784128923076924
CanESM2,rcp26,2013,7.722292461538461
CanESM2,rcp26,2014,7.327714
CanESM2,rcp26,2015,7.17474
CanESM2,rcp26,2016,7.6748626153846145
CanESM2,rcp26,2017,8.043523076923076
CanESM2,rcp26,2018,8.223069076923077
CanESM2,rcp26,2019,8.408417538461538
CanESM2,rcp26,2020,7.9872032307692304
CanESM2,rcp26,2021,7.763465999999999
CanESM2,rcp26,2022,7.876820923076922
CanESM2,rcp26,2023,8.271583384615385
CanESM2,rcp26,2024,8.121153076923077
CanESM2,rcp26,2025,8.04634523076923
CanESM2,rcp26,2026,8.031953692307692
CanESM2,rcp26,2027,7.7522301538461535
CanESM2,rcp26,2028,7.975149384615385
CanESM2,rcp26,2029,8.168935846153847
CanESM2,rcp26,2030,8.490816923076922
CanESM2,rcp26,2031,8.352072615384616
CanESM2,rcp26,2032,8.156144615384616
CanESM2,rcp26,2033,7.895327692307692
CanESM2,rcp26,2034,8.412526461538462
CanESM2,rcp26,2035,8.161992153846153
CanESM2,rcp26,2036,8.176134307692308
CCSM4,rcp26,2006,7.400476153846154
CCSM4,rcp26,2007,7.4590253846153844
CCSM4,rcp26,2008,6.758268153846153
CCSM4,rcp26,2009,7.039327538461537
CCSM4,rcp26,2010,7.297447230769232
CCSM4,rcp26,2011,7.706307692307693
CCSM4,rcp26,2012,7.376155076923077
CCSM4,rcp26,2013,7.399765999999998
CCSM4,rcp26,2014,7.486994307692307
CCSM4,rcp26,2015,6.932492615384614
CCSM4,rcp26,2016,7.181760923076922
CCSM4,rcp26,2017,7.342170923076922
CCSM4,rcp26,2018,7.2376727692307705
CCSM4,rcp26,2019,7.581318153846153
CCSM4,rcp26,2020,7.420704615384615
CCSM4,rcp26,2021,7.474839230769231
CCSM4,rcp26,2022,7.6083067692307695
CCSM4,rcp26,2023,7.529208461538461
CCSM4,rcp26,2024,7.648472923076923
CCSM4,rcp26,2025,7.822008461538461
CCSM4,rcp26,2026,7.2340072307692305
CCSM4,rcp26,2027,7.828056307692308
CCSM4,rcp26,2028,7.373889076923077
CCSM4,rcp26,2029,7.523846461538462
CCSM4,rcp26,2030,7.821683538461538
CCSM4,rcp26,2031,7.586574307692308
CCSM4,rcp26,2032,7.481551846153847
CCSM4,rcp26,2033,7.280223076923078
CCSM4,rcp26,2034,7.182106769230769
CCSM4,rcp26,2035,7.741011384615384
CCSM4,rcp26,2036,7.741713538461537
CESM1-CAM5,rcp26,2006,6.990765846153845
CESM1-CAM5,rcp26,2007,7.1222647692307675
CESM1-CAM5,rcp26,2008,6.97733846153846
CESM1-CAM5,rcp26,2009,7.499091384615384
CESM1-CAM5,rcp26,2010,7.446106307692308
CESM1-CAM5,rcp26,2011,7.402419076923077
CESM1-CAM5,rcp26,2012,7.226247230769231
CESM1-CAM5,rcp26,2013,7.164887846153845
CESM1-CAM5,rcp26,2014,7.989748923076923
CESM1-CAM5,rcp26,2015,8.063090923076922
CESM1-CAM5,rcp26,2016,7.82985323076923
CESM1-CAM5,rcp26,2017,7.290339076923077
CESM1-CAM5,rcp26,2018,6.523999076923077
CESM1-CAM5,rcp26,2019,7.693656
CESM1-CAM5,rcp26,2020,7.860167384615385
CESM1-CAM5,rcp26,2021,7.571035692307691
CESM1-CAM5,rcp26,2022,7.346346923076923
CESM1-CAM5,rcp26,2023,7.180078923076923
CESM1-CAM5,rcp26,2024,7.5831532307692315
CESM1-CAM5,rcp26,2025,7.759679692307692
CESM1-CAM5,rcp26,2026,7.672677692307692
CESM1-CAM5,rcp26,2027,7.472932769230769
CESM1-CAM5,rcp26,2028,7.3170832307692315
CESM1-CAM5,rcp26,2029,7.673754615384616
CESM1-CAM5,rcp26,2030,7.785184615384615
CESM1-CAM5,rcp26,2031,7.409947692307693
CESM1-CAM5,rcp26,2032,7.430772
CESM1-CAM5,rcp26,2033,7.551170461538462
CESM1-CAM5,rcp26,2034,7.607746153846153
CESM1-CAM5,rcp26,2035,7.988453846153846
CESM1-CAM5,rcp26,2036,7.793176615384615
CNRM-CM5,rcp26,2006,7.167461076923076
CNRM-CM5,rcp26,2007,7.175123846153846
CNRM-CM5,rcp26,2008,7.250651076923075
CNRM-CM5,rcp26,2009,6.957689846153847
CNRM-CM5,rcp26,2010,7.445899076923077
CNRM-CM5,rcp26,2011,7.096537999999999
CNRM-CM5,rcp26,2012,7.790474769230769
CNRM-CM5,rcp26,2013,7.378091384615384
CNRM-CM5,rcp26,2014,7.205930153846153
CNRM-CM5,rcp26,2015,6.894627076923078
CNRM-CM5,rcp26,2016,7.409383692307692
CNRM-CM5,rcp26,2017,7.058824153846154
CNRM-CM5,rcp26,2018,7.190813846153845
CNRM-CM5,rcp26,2019,6.850262153846153
CNRM-CM5,rcp26,2020,6.942739076923076
CNRM-CM5,rcp26,2021,7.111225384615384
CNRM-CM5,rcp26,2022,7.298006615384616
CNRM-CM5,rcp26,2023,7.4478690769230775
CNRM-CM5,rcp26,2024,7.047958307692307
CNRM-CM5,rcp26,2025,7.49698723076923
CNRM-CM5,rcp26,2026,7.272746153846153
CNRM-CM5,rcp26,2027,7.604584153846154
CNRM-CM5,rcp26,2028,7.416037076923077
CNRM-CM5,rcp26,2029,7.411861384615384
CNRM-CM5,rcp26,2030,7.686867846153845
CNRM-CM5,rcp26,2031,7.583526461538462
CNRM-CM5,rcp26,2032,7.331978769230768
CNRM-CM5,rcp26,2033,7.806835692307692
CNRM-CM5,rcp26,2034,7.534863384615384
CNRM-CM5,rcp26,2035,7.063201538461539
CNRM-CM5,rcp26,2036,8.158550153846154
CSIRO-Mk3-6-0,rcp26,2006,7.30245230769231
CSIRO-Mk3-6-0,rcp26,2007,7.163266461538462
CSIRO-Mk3-6-0,rcp26,2008,6.962328769230768
CSIRO-Mk3-6-0,rcp26,2009,7.57420923076923
CSIRO-Mk3-6-0,rcp26,2010,6.539948
CSIRO-Mk3-6-0,rcp26,2011,7.552724461538461
CSIRO-Mk3-6-0,rcp26,2012,8.25484523076923
CSIRO-Mk3-6-0,rcp26,2013,7.924208615384615
CSIRO-Mk3-6-0,rcp26,2014,7.625084923076923
CSIRO-Mk3-6-0,rcp26,2015,7.8719061538461546
CSIRO-Mk3-6-0,rcp26,2016,7.224101076923076
CSIRO-Mk3-6-0,rcp26,2017,8.35940646153846
CSIRO-Mk3-6-0,rcp26,2018,7.700928769230769
CSIRO-Mk3-6-0,rcp26,2019,7.746963384615385
CSIRO-Mk3-6-0,rcp26,2020,8.277903846153846
