LON,LAT,rx1day_5yr,rx1day_10yr,rx1day_25yr,rx1day_75yr,rx1day_100yr,rx1day_200yr,rx2day_5yr,rx2day_10yr,rx2day_25yr,rx2day_75yr,rx2day_100yr,rx2day_200yr,rx3day_5yr,rx3day_10yr,rx3day_25yr,rx3day_75yr,rx3day_100yr,rx3day_200yr,rx4day_5yr,rx4day_10yr,rx4day_25yr,rx4day_75yr,rx4day_100yr,rx4day_200yr,rx5day_5yr,rx5day_10yr,rx5day_25yr,rx5day_75yr,rx5day_100yr,rx5day_200yr
121.55,25.1,-11.73821961,-11.45244063,-15.71183368,-18.90848503,-21.62708036,-24.3079219,-9.485762997,-10.77132115,-11.13352519,-15.13017143,-18.64117628,-21.59627717,-10.67674665,-8.589687663,-5.082035691,-4.855644302,-9.040938403,-13.51976681,-10.94862091,-10.51747829,-6.056895096,-7.569247255,-11.23808964,-14.91887302,-10.56001442,-12.12692798,-9.682287316,-13.55347,-16.93902867,-17.84437069
121.55,25.15,-13.09417855,-15.25920987,-15.17648654,-16.58976228,-18.75499648,-20.72403386,-7.3301372,-8.242515295,-15.70574181,-18.88213012,-19.72860795,-21.32240911,-4.001009053,-5.087441138,-9.883991071,-13.66011626,-13.79087614,-15.14677256,-5.587475093,-5.835230348,-8.357721661,-11.29393086,-14.87127974,-16.82220964,-6.312515069,-7.856962545,-12.66500715,-17.39336873,-19.67918746,-21.11239744
121.55,25.2,-11.42406913,-13.88040198,-13.48598629,-15.79685544,-18.55747459,-20.86111659,-5.778792326,-6.653556476,-14.11194218,-16.29345833,-16.89416483,-17.94390843,-2.448164831,-1.067169903,-7.553736379,-10.75523119,-10.51017575,-11.72447364,-4.530016049,-4.461259718,-6.086070262,-10.01349253,-12.57720874,-14.14265218,-6.62955208,-7.47357403,-11.84570177,-16.56443719,-18.09873184,-18.73925237
121.6,24.95,-7.660334315,-10.73368353,-17.59328207,-21.37411664,-24.3178836,-26.85511153,-7.519278383,-5.61285604,-7.125773576,-10.49065642,-13.25315458,-15.5826703,-7.822856549,-4.104533597,-5.020401049,-6.6351184,-8.173185679,-11.23080807,-9.467443878,-5.442306407,-5.342699454,-8.172779918,-11.71290128,-15.367236,-7.416650281,-8.364259581,-10.5602179,-15.29777886,-18.63346146,-20.04686929
121.6,25.05,-10.53266919,-9.11203185,-11.57862684,-14.99744108,-18.57552838,-21.61095058,-8.023820223,-9.807513513,-14.20260366,-19.25160478,-23.38235685,-26.84557313,-9.433846214,-8.76727351,-7.547941099,-9.513639472,-11.62224395,-14.79353542,-9.535643128,-10.88314484,-8.687785155,-12.16020962,-15.957223,-18.05253757,-7.58884187,-11.05869709,-12.54744236,-15.95495861,-17.35036996,-18.49767863
121.6,25.1,-11.12045841,-10.57837912,-11.85449564,-14.96873482,-17.70086798,-20.59233656,-6.402466428,-10.41670635,-16.46471717,-19.18745972,-22.44024644,-25.42087538,-7.2837662,-9.388641158,-10.63262604,-11.59707592,-14.50416147,-17.11681682,-7.53880317,-9.685342825,-11.54005978,-12.4574684,-13.31750884,-13.95039649,-7.538360177,-9.407870116,-13.42216937,-16.28488522,-16.42434647,-16.83903077
121.6,25.15,-12.05205839,-12.97356563,-14.18181202,-15.98712751,-18.27853983,-20.39986877,-6.753754927,-7.750553758,-15.09313554,-16.17836005,-17.15408777,-20.06411836,-3.496125727,-3.513727657,-10.28339042,-12.27185365,-14.19627486,-17.44448821,-4.624848535,-5.485386652,-10.14259766,-14.3023162,-15.94619318,-18.70105951,-6.132632576,-8.007079557,-15.61166232,-19.2254136,-20.50425933,-23.25463998
121.6,25.2,-12.06655551,-12.17306174,-15.73253154,-18.71676524,-21.19420622,-23.28085059,-7.010844563,-9.272506358,-14.48867885,-15.55888301,-16.9468097,-18.59094002,-4.109110224,-4.219557641,-10.10102223,-11.3150058,-14.40133392,-17.44267984,-5.400018323,-5.230187599,-9.9348991,-12.64390269,-15.0802889,-17.47889076,-7.612335562,-8.173480314,-14.92272958,-17.54718532,-18.87050441,-21.18384575
121.6,25,-9.861066288,-9.406142036,-11.31242198,-14.7658668,-18.07808622,-20.91945144,-9.01808529,-8.873670558,-12.45898523,-17.16994315,-21.04687864,-24.31411029,-10.39819639,-8.241976791,-7.185731784,-8.946181395,-11.95772982,-15.47237591,-10.06745771,-10.00627235,-7.038741914,-10.033615,-13.4578069,-16.62158355,-8.076053173,-11.17619641,-12.19303283,-15.57727434,-16.85819037,-17.92547032
121.65,25.05,-11.96494518,-10.88666997,-10.82700912,-13.28800715,-15.58923081,-17.87546559,-5.584195779,-6.400220366,-14.88453306,-16.89538151,-18.46268058,-20.08578406,-5.031032754,-6.830042579,-9.759953363,-11.71095203,-11.35187007,-12.22485298,-6.030263369,-7.533394593,-9.319040244,-11.98020696,-13.18536241,-14.89895609,-7.171198284,-7.653254038,-14.10278033,-16.89600288,-18.21681925,-19.44083147
121.65,25.1,-12.28629447,-12.3878829,-12.81342111,-14.12655257,-16.50789607,-18.58975586,-6.546584348,-7.411620096,-14.97089667,-16.95096645,-18.21028428,-19.78295064,-4.400732532,-5.635457517,-11.16664978,-13.29785489,-14.26449763,-16.47008934,-5.789575651,-5.517600936,-10.3742706,-14.08127861,-16.12549554,-17.90458141,-7.067062993,-8.055176796,-15.31760889,-19.53713402,-20.96389222,-22.17620725
121.65,25,-9.620371193,-7.620577827,-11.57911934,-15.35843694,-18.51162336,-21.20168454,-6.146296829,-8.780523278,-13.03196578,-17.26407578,-20.20496454,-22.66669782,-6.807214451,-8.983733682,-7.098322262,-9.298415955,-11.37444155,-14.02045859,-6.77458925,-9.302253455,-8.484695812,-11.5261951,-13.66886618,-14.46309538,-6.204810853,-8.619360105,-9.86831398,-13.29498031,-14.74574929,-16.19507325
