LON,LAT,rx1day_5yr,rx1day_10yr,rx1day_25yr,rx1day_75yr,rx1day_100yr,rx1day_200yr,rx2day_5yr,rx2day_10yr,rx2day_25yr,rx2day_75yr,rx2day_100yr,rx2day_200yr,rx3day_5yr,rx3day_10yr,rx3day_25yr,rx3day_75yr,rx3day_100yr,rx3day_200yr,rx4day_5yr,rx4day_10yr,rx4day_25yr,rx4day_75yr,rx4day_100yr,rx4day_200yr,rx5day_5yr,rx5day_10yr,rx5day_25yr,rx5day_75yr,rx5day_100yr,rx5day_200yr
121.45,25.1,13.85310872,19.5645064,26.84593667,29.915651,29.32448032,29.17056554,19.88668323,22.4541976,24.37548033,28.91457899,32.71304132,37.71293281,22.37684868,25.62009231,25.51468208,29.96556426,30.07969667,32.57700674,26.02665277,25.46148717,25.15454867,28.6875133,26.3178032,28.04594894,25.58536523,27.77975055,24.28142289,23.60437619,22.22729037,23.29998717
121.45,25.15,15.19584975,22.96458215,25.42339365,28.49507784,31.89036548,34.92115164,21.13370711,22.6460676,25.96603839,26.9247659,28.99151033,31.19069291,24.63064966,23.20646782,26.55492234,27.3484335,26.80284573,26.37596272,26.29472246,26.61084832,26.24967633,25.80135825,24.1674003,23.14628259,25.04853629,27.55040589,22.33865665,21.64107981,21.70574606,22.86737932
121.5,25.05,13.65498633,13.94291702,17.76697916,18.78298944,21.72515648,24.19294544,19.62579124,17.53415065,21.01401301,20.74897733,21.76397154,24.6226252,23.33188582,24.73402667,23.80433436,23.30789886,25.86745112,29.9877566,22.88173351,23.38711673,18.58327306,21.21205139,23.43437164,25.34130114,21.7120203,25.1906295,20.49127462,22.41005234,25.43504127,28.07258336
121.5,25.1,14.94415073,17.70657064,21.24778017,25.42457262,30.30015631,32.12267461,19.70212363,21.24826921,21.88816086,26.33735516,30.71817338,33.94192004,22.54584858,25.26393269,25.19648343,29.74710979,33.72834665,36.84069509,25.08328375,25.77529941,24.5314451,28.23650364,31.28310292,33.84224891,23.98704318,28.03007664,24.81794795,22.92972925,25.09684076,26.94946847
121.5,25,12.8657036,14.74657911,19.76712953,17.77977764,24.69578608,27.65164026,18.55049196,17.68846138,19.79760642,20.78476545,21.66934567,22.53060012,20.63698001,20.67728591,24.03441542,25.83968032,26.68582736,29.48049683,21.50264196,21.86753725,24.10324128,22.55881229,21.05617448,25.97026395,19.151926,21.80936084,21.99541405,22.62863416,21.50235569,23.43687371
121.5,25.15,12.99851297,21.49755579,12.64811788,13.86328349,17.22987878,20.4572581,19.0821757,17.5467371,21.92558625,21.4106043,19.81167134,18.37233162,23.36930428,18.16243581,17.82273862,20.84102468,22.68118324,22.52851593,22.42647052,16.31841436,17.21118254,20.19014202,18.05886344,18.73313394,19.92929326,18.89691884,19.15170866,15.07845033,15.92943334,14.44069001
121.5,25.2,12.74402751,20.33180614,16.80668117,19.28116549,19.66296543,23.40056865,18.37198639,18.47404136,19.35809495,16.48204846,15.97693294,17.24278702,21.18272905,18.564214,18.071463,18.62017472,20.06892392,22.09556253,22.53962769,18.07257779,19.26161535,20.02881356,22.11500744,20.26857873,19.7189186,19.57474363,22.16188314,18.99530883,19.31827498,17.11289387
121.55,24.95,10.15370963,12.65963622,19.16951417,24.32391266,32.01323893,38.50876056,18.05851104,15.92177004,16.08069435,14.89642051,15.31015751,17.48860503,20.16193236,21.05181184,21.51429467,17.77016503,16.28320408,15.35642603,21.75967067,21.89034564,23.44539759,22.60880934,21.99597421,23.97900686,21.49948933,22.78052565,20.9504026,24.63738039,25.13397711,23.2436243
121.55,25.05,14.17281583,14.94841542,15.38238179,19.09490536,23.45035665,28.81002585,19.23580598,15.15908176,19.17749689,21.96586098,21.56994694,24.67033742,22.87389106,21.96570876,21.76898384,21.82508382,27.87438281,32.92952991,21.84379955,23.435735,22.59931686,24.18329633,24.32146632,26.51006425,22.86139177,26.262943,20.61475411,24.64154119,28.11960395,29.20185659
121.55,25.1,14.35529175,18.0933432,22.08658584,24.57261802,26.71329699,25.827398,20.77086512,17.19106475,17.51313264,19.6091833,22.70360994,25.97299709,22.73517595,22.9296748,25.25348287,24.61304353,21.64964627,23.26233932,23.25553938,25.19969556,24.685981,24.51308264,27.976952,28.64599542,22.52417736,25.72802186,25.89421655,26.74805403,27.29491936,26.26659886
