LON,LAT,rx1day_5yr,rx1day_10yr,rx1day_25yr,rx1day_75yr,rx1day_100yr,rx1day_200yr,rx2day_5yr,rx2day_10yr,rx2day_25yr,rx2day_75yr,rx2day_100yr,rx2day_200yr,rx3day_5yr,rx3day_10yr,rx3day_25yr,rx3day_75yr,rx3day_100yr,rx3day_200yr,rx4day_5yr,rx4day_10yr,rx4day_25yr,rx4day_75yr,rx4day_100yr,rx4day_200yr,rx5day_5yr,rx5day_10yr,rx5day_25yr,rx5day_75yr,rx5day_100yr,rx5day_200yr
121.45,25.15,5.767896546,-2.029857173,-0.31258911,1.209391338,2.473176049,3.545733596,2.666023519,5.451979651,5.223155656,7.423986955,9.327327321,9.526373568,8.378592967,11.51929031,10.82417495,10.23308826,10.4716587,12.29781813,7.010050394,12.05000142,12.29454275,12.08570258,11.73891154,10.73843773,9.42287034,12.1084042,12.05828969,10.00832722,5.547407263,3.808363704
121.45,25.1,6.147521069,1.484294262,-0.627759612,2.686969819,6.668132287,10.24947637,5.846599388,11.03633191,5.77141008,8.134068488,10.19646643,12.01715348,6.281354289,9.930426611,8.732437226,10.21955674,10.97690692,10.20340926,7.46736516,11.23481203,12.93162112,8.38590125,7.489809996,8.692939755,9.142626139,10.85991627,9.55040652,8.217854491,6.916842757,3.952497105
121.5,25.05,4.793175047,1.928985863,4.988464603,6.540614656,7.040971569,7.710537076,5.978268824,9.470623903,9.04954282,5.211302299,1.056914327,1.198585474,8.75555516,7.600985891,6.782887588,6.346287939,5.707114019,7.017081118,8.860062482,11.65429596,7.15037502,8.348363172,8.017412327,6.723232139,7.601272277,6.199457517,7.017572563,7.682643126,3.541828794,5.483314973
121.5,25.15,3.899244072,-0.531357649,-5.280148543,-7.936027485,-4.522305149,-2.813149217,3.075168426,0.064784619,-1.201102076,-2.523688903,-2.173145889,-2.65333061,4.561373525,6.362294521,6.068342157,4.287303177,-0.433032529,-3.435460501,2.955406064,9.402076144,6.742608106,5.501629447,2.035888332,3.873723108,3.961891799,7.029343686,4.506691714,4.415202045,4.142679022,3.961271201
121.5,25.1,5.70810285,1.964380703,0.359021822,6.238497248,11.51082516,10.93867475,6.461833413,8.744522272,6.968721031,6.149944966,5.955302107,5.618811803,6.541291263,8.376728712,9.5180278,10.24769116,6.475369948,7.696100792,8.069279069,13.36116277,7.50282198,7.394954185,6.302873391,7.136025356,7.620883949,9.412499451,3.113971426,1.41494227,2.360066255,3.814115412
121.5,25.2,3.983416037,1.405274844,-3.923125276,-5.413969562,-5.302382889,-5.361340717,4.71809126,1.358672067,-2.205581318,-3.71236034,-3.066751412,-2.467427832,3.249783146,5.599765222,7.075672958,4.488413092,-0.330435622,-0.924603439,5.025132204,10.73525132,9.439162422,9.48093587,7.138163451,4.712500415,3.790371065,10.35428608,4.947698252,4.956926643,4.852126508,4.68853525
121.5,25,3.836432839,2.55213074,3.986091435,2.453613202,2.559509332,1.035012835,4.833648457,7.630599473,7.428937221,1.620911273,-3.023601037,-5.848207803,7.772120513,7.048273388,6.290507153,3.507857345,4.879712544,5.166670637,7.50585527,11.0992065,8.352464299,8.317970836,8.368911425,8.464118888,8.11957114,8.381524128,7.799961935,7.180565092,5.687093422,2.967647333
121.55,24.95,2.467770138,3.563160185,1.537365108,0.80736886,2.101812173,3.306264751,4.955097241,6.556263441,4.80441517,2.2344492,0.227335951,-2.475354482,7.459355674,9.886838918,5.057104021,6.373820229,5.894139883,5.024153054,5.484029972,11.42897431,5.687677165,7.392950904,6.844454269,2.78346756,6.572805277,6.292984342,4.74357227,4.918781585,6.981150731,6.474009615
121.55,25.05,1.883777545,-0.230718435,5.742323837,3.353778504,5.22804125,1.348768555,5.50097001,6.898063614,7.369150901,3.90836973,-0.087076879,-1.64286706,6.269224563,7.593744123,5.279790902,3.949390797,6.89416748,4.007873908,7.84347294,10.78833945,9.644260111,8.957165409,6.769643354,6.174678476,7.431254285,7.153188547,6.861924059,7.221115034,6.966609744,7.105881965
121.55,25.1,1.898300632,-2.796053953,4.185542533,5.830723716,2.358215849,0.333638787,3.552993683,8.767495043,5.540270422,2.761657574,-0.071925259,-1.451697915,6.112908188,4.741291916,5.173598417,1.314741418,1.082754963,0.560390229,6.434090203,11.25353517,4.369462538,5.780616065,6.425081867,6.482742388,5.230721424,5.464401904,5.008486736,5.349232436,5.740448471,6.143947959
121.55,25.15,0.197492613,-0.682243193,-2.641109803,-3.495910753,-5.407356814,-9.87313041,4.788072739,0.06963142,-0.980256938,-5.292026622,-7.652432691,-9.436954445,0.19339812,5.1267398,1.58027245,0.347764109,-1.542775915,-4.057781491,4.416079492,5.98103861,4.196957029,3.511041548,2.47109966,2.075020472,3.65416807,5.31980447,5.24656826,5.418034111,4.997011391,3.560638775
121.55,25,2.191591702,0.868887811,3.203286099,4.630863083,2.981496376,1.542241122,4.028084726,6.28357782,5.979715232,0.297980415,-4.288008304,-5.792207625,6.76213856,7.862710113,7.048620219,1.4156291,3.477178784,5.110698889,6.248774529,9.967294212,9.118550347,9.02388542,8.919629898,8.888310694,5.898194899,7.008726378,7.503307881,9.580525271,6.966902915,5.330639261
121.55,25.2,5.010618424,2.082853933,2.294354182,-2.363422263,-4.75488573,-7.495624268,4.895173432,3.243881599,-0.833132602,-1.140816066,-1.400813921,-1.625032685,2.754989694,6.940250237,6.038191791,4.539882191,3.124029458,2.635994218,3.981830647,8.555247723,9.844573391,10.24340625,7.642664656,6.156226752,6.160733869,9.660596115,11.50901553,12.39526163,10.56084888,9.782227248
121.6,24.95,1.15580185,3.224659403,4.682085782,3.212136985,1.955918598,1.694208379,3.967340893,8.16751314,5.939537416,1.671506764,0.969012791,0.343153377,7.605445088,9.027754844,6.3414223,5.070041496,1.807800354,0.412605873,5.661894273,9.635286129,5.745553844,7.288089877,5.856363693,1.659935952,4.767357164,7.688552134,5.141457253,6.905725308,7.571739648,6.212109749
121.6,25.05,1.308971171,-2.655084335,0.482378852,0.194537881,-1.854536356,-1.601079584,4.89483623,8.135041749,3.578080528,-1.695816808,-4.936294733,-3.260013524,4.825855136,9.231287802,5.628067242,4.105236584,4.066080595,2.019277867,4.0642601,8.701908328,8.0656801,7.635184668,7.361462193,9.228340627,6.412013206,7.514608317,8.59642644,8.359198574,8.781258351,8.944863196
121.6,25,1.003640306,-1.668913814,2.935907189,0.72792525,1.034741881,2.187288102,4.212977565,6.516283395,7.512616305,3.777359245,0.174044376,-2.13191622,5.341390273,9.033788778,8.004391285,6.427425592,5.215113012,5.304293161,4.439438926,10.96944238,9.493932726,9.757812884,6.891419081,9.457158271,5.025543459,8.451542827,8.007148817,10.03045134,10.04978804,10.09538058
121.6,25.1,1.586382,-1.37444954,-1.308140058,1.413899629,-1.230612934,-1.680583178,4.899807704,2.693214138,2.958458611,-2.334136984,-3.859544915,-3.881104916,3.864722498,9.230607489,6.026455781,4.823906043,1.678460596,-2.455638791,3.655323919,7.385924856,8.590012948,7.53774264,8.811542152,9.00305881,4.986623987,5.952285103,9.352058537,8.873243649,10.61576614,9.667636648
121.6,25.15,1.878925961,0.485993598,1.584419809,-1.965428748,-5.436447139,-8.260860119,3.605776687,3.096495025,-0.42886946,-2.889112724,-4.889513057,-5.644297875,2.141670553,4.884794939,3.996347089,5.324502427,0.876710431,-2.979493131,2.34955194,6.9331645,11.37078789,9.448136699,6.424611272,3.776099919,4.877752387,9.469220627,8.128699412,5.750428029,4.609317112,3.537263815
121.6,25.2,2.729842499,1.574163731,0.951241235,-0.892758097,-2.428708965,-3.952965096,3.268651602,2.546342769,1.023409843,-0.909242864,-2.735754865,-4.365157191,3.853450926,3.575163184,6.235316418,8.014935018,5.325734111,4.014833363,3.104140614,6.83481511,9.535675803,9.17740597,8.069878166,6.549743658,7.986744855,10.3774242,10.58836346,9.166055997,8.46808931,7.010557249
121.65,25.05,1.706937364,4.240751939,-0.166923935,1.538334999,-2.408051875,-5.619199783,2.930990616,1.435571392,2.385237041,-1.58484927,-5.419005126,-6.037520672,3.448039932,7.444724905,8.191851361,7.527429813,3.34024895,-0.129412398,4.168448506,8.562969838,10.40571079,10.18795786,9.994194677,9.832031041,3.719443579,7.44612357,7.642509342,6.523627297,5.492065035,4.655955285
121.65,25.1,2.211866682,2.564169998,0.977956242,-1.475464561,-5.87511476,-8.421527126,3.339647185,1.259063647,1.138619362,0.913213067,-1.007964369,-1.86736017,2.839246216,5.658461889,8.088677948,9.795353931,5.989587539,4.339444855,4.151075308,7.357696483,9.966774559,9.711564305,9.528574763,8.42152822,5.391431641,9.232021524,7.660937283,8.892843974,5.588971601,4.515092628
121.65,25,1.261542533,0.897608674,2.865123129,2.109779211,2.689720073,-0.679419179,3.668811891,4.920522062,5.81952688,0.723117646,-3.689198555,-2.575216754,3.571039973,10.06994847,9.809431841,8.9905449,6.373381574,5.20748655,2.867936034,11.77815428,9.297089986,11.31181082,13.88103654,12.7392129,3.619378002,9.214377458,12.41583211,8.556284042,11.96265557,11.47126638
