LON,LAT,city,scenario,percentile,source_file,metric,change_pct,duration_day,return_period_yr
121.65,25.0,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv,rx1day_5yr,15.43124736,1,5
121.45,25.1,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-0.135294303,1,5
121.45,25.15,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-2.026645396,1,5
121.5,25.05,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-1.537907753,1,5
121.5,25.1,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-0.387583828,1,5
121.5,25.15,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-3.934947342,1,5
121.5,25.2,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-3.187550145,1,5
121.5,25.0,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-3.530718012,1,5
121.55,24.95,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-2.302198279,1,5
121.55,25.05,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-2.88471258,1,5
121.55,25.1,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-3.203855093,1,5
121.55,25.15,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-5.510071732,1,5
121.55,25.2,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-2.087893703,1,5
121.55,25.0,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-3.642080115,1,5
121.6,24.95,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-2.703660513,1,5
121.6,25.05,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-3.355478115,1,5
121.6,25.1,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-3.369083544,1,5
121.6,25.15,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-4.437321764,1,5
121.6,25.2,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-3.641849636,1,5
121.6,25.0,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-3.56354883,1,5
121.65,25.05,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv,rx1day_5yr,-5.236145272,1,5
