LON,LAT,rx1day_5yr,rx1day_10yr,rx1day_25yr,rx1day_75yr,rx1day_100yr,rx1day_200yr,rx2day_5yr,rx2day_10yr,rx2day_25yr,rx2day_75yr,rx2day_100yr,rx2day_200yr,rx3day_5yr,rx3day_10yr,rx3day_25yr,rx3day_75yr,rx3day_100yr,rx3day_200yr,rx4day_5yr,rx4day_10yr,rx4day_25yr,rx4day_75yr,rx4day_100yr,rx4day_200yr,rx5day_5yr,rx5day_10yr,rx5day_25yr,rx5day_75yr,rx5day_100yr,rx5day_200yr
121.45,25.1,-0.135294303,-1.083951002,-2.20694078,-2.014690906,-2.255965015,-2.961391379,-2.041253092,0.087827181,-0.503997116,-2.957833621,-5.074822472,-6.929917796,-4.180373008,-2.233274635,-5.324646891,-8.235218479,-11.06340101,-13.45007383,-3.869855172,-4.828712233,-9.331961808,-12.41365668,-15.27496645,-17.6720046,-2.502981924,-3.39147929,-6.940089757,-10.97902417,-14.27925758,-17.04030561
121.45,25.15,-2.026645396,-1.775020411,-1.714865051,-2.417627892,-4.295014586,-5.955360074,-2.51493172,-0.390774024,-3.218422065,-6.215635238,-8.921930812,-11.21185702,-5.482175618,-4.535112902,-7.394979984,-11.00203621,-14.13972461,-16.77322065,-3.231241081,-5.56246714,-10.31626912,-13.1905077,-15.88112109,-18.14248917,-1.904445547,-4.335887422,-8.080626075,-12.07110357,-15.32271757,-18.03804486
121.5,25.05,-1.537907753,-2.620096159,-6.820664668,-9.246337209,-11.11818021,-12.67183832,-0.140687337,2.287322162,-1.641159891,-4.552430361,-7.087400474,-9.31438044,-2.551181425,-1.457358364,-5.757472772,-8.289755297,-10.39415881,-12.17853978,-3.763991452,-5.039819298,-10.45529374,-14.26558687,-17.29488559,-19.4212995,-3.530215358,-5.231291693,-11.72709964,-14.84808318,-17.50770997,-19.81500989
121.5,25.1,-0.387583828,-1.462674112,-1.14024885,-3.303301201,-5.209165869,-6.849940192,-1.028257035,0.332552307,-3.147724445,-5.651996415,-7.80367229,-9.68106807,-3.119313922,-3.236278018,-7.712445887,-10.33913114,-12.52474698,-14.3834538,-3.852538958,-6.870553013,-11.86247594,-14.37281258,-15.96291222,-17.3293199,-3.176841134,-6.181502894,-10.19180602,-11.73262398,-13.33817051,-15.87850473
121.5,25.15,-3.934947342,-5.287505488,-7.835689735,-9.148963036,-11.23539043,-13.07234555,-2.748296966,-3.235799728,-8.687657176,-11.87155155,-14.7849175,-17.39105813,-5.709231322,-7.770789594,-13.51033568,-16.66774426,-18.81977147,-20.67795521,-6.493589718,-10.13958735,-13.63736917,-16.43349126,-18.97714183,-21.16164229,-6.031598929,-10.33070889,-12.87336299,-16.07698966,-18.77636756,-21.09200329
121.5,25.2,-3.187550145,-1.9502839,-5.485497321,-7.705681694,-9.629404463,-11.31895222,-3.101932774,-3.939983304,-8.755723068,-12.6798406,-15.86056328,-18.50237687,-6.247728702,-7.659640687,-12.11212806,-16.5390702,-20.07893243,-22.40739883,-7.136286428,-8.960171525,-12.89377346,-15.59142772,-18.11487473,-20.28284467,-6.310286235,-10.3173761,-12.75030493,-16.084415,-18.89124828,-21.29534159
121.5,25,-3.530718012,-4.719577379,-8.463031222,-11.07342216,-13.15623419,-14.86868199,-1.178303707,-0.998933506,-4.295496422,-7.555430152,-10.75878016,-13.53824651,-3.446795889,-2.747270417,-7.88587616,-10.92813665,-13.44022064,-15.55873432,-4.441463398,-5.333533091,-11.32471382,-15.38674707,-18.74129665,-21.57198123,-4.414171508,-6.406873685,-13.53573538,-17.61397159,-20.70146995,-23.36407513
121.55,24.95,-2.302198279,-2.744336046,-5.849862928,-8.353625502,-10.41739355,-12.16325974,-3.633226584,-2.774473727,-2.783983491,-4.421390807,-6.766023612,-8.912476013,-5.366379572,-3.342316445,-5.00664932,-6.374725629,-7.511336549,-8.4755428,-6.451124317,-6.687481537,-10.06405336,-11.99144193,-14.41424481,-16.55289082,-6.309731736,-8.336019506,-11.9592915,-15.82294765,-18.84987295,-21.14360427
121.55,25.05,-2.88471258,-4.007088266,-9.430575059,-12.10594201,-14.14238134,-15.84563395,-0.011809894,-0.044124778,-4.137361423,-7.353293544,-10.24309982,-12.8722072,-2.375340912,-4.140923579,-8.394223336,-10.85231642,-13.13007568,-15.5819482,-3.880527571,-8.266106787,-13.25697081,-16.34338343,-18.96329134,-21.20546926,-3.845629491,-8.734917826,-13.09251684,-16.4286245,-19.23878623,-21.65068943
121.55,25.1,-3.203855093,-3.983452131,-8.460645083,-10.93616837,-12.82294944,-14.49098398,-0.598097274,-2.080485888,-6.258314407,-8.747122084,-10.83590997,-12.62421093,-2.17619177,-6.307083613,-11.44754505,-14.37216073,-16.75236275,-19.01700565,-4.114709058,-10.49245983,-14.39253318,-16.50529254,-19.2296339,-21.55398445,-5.16966757,-10.7710827,-13.30075283,-16.45707254,-19.31160451,-21.74942676
