organism,scenario,model,bio_year,season_group,base_temp,dd_per_generation,seasonal_dd,seasonal_generation_equivalent,annual_bioyear_dd,dd_share
Cockroach,historical,ACCESS1-0,2004,May-Oct,15.9,650,2051.5870123403283,3.156287711292813,2647.8969332921492,77.47986662719441
Cockroach,historical,ACCESS1-0,2004,Nov-Apr,15.9,650,596.3099209518209,0.9173998783874168,2647.8969332921492,22.520133372805585
Cockroach,historical,ACCESS1-3,2004,May-Oct,15.9,650,1884.4389361856568,2.8991368249010105,2536.761376359665,74.28522657853959
Cockroach,historical,ACCESS1-3,2004,Nov-Apr,15.9,650,652.3224401740084,1.0035729848830899,2536.761376359665,25.714773421460407
Cockroach,historical,BNU-ESM,2004,May-Oct,15.9,650,2101.490460601531,3.2330622470792787,2614.2051389637254,80.38735863837239
Cockroach,historical,BNU-ESM,2004,Nov-Apr,15.9,650,512.7146783621943,0.7887918128649143,2614.2051389637254,19.612641361627613
Cockroach,historical,CCSM4,2004,May-Oct,15.9,650,2019.2484027770452,3.1065360042723773,2560.054479271206,78.87521219282344
Cockroach,historical,CCSM4,2004,Nov-Apr,15.9,650,540.806076494161,0.8320093484525553,2560.054479271206,21.124787807176553
Cockroach,historical,CESM1-BGC,2004,May-Oct,15.9,650,1952.8984391186177,3.004459137105566,2524.439869050492,77.3596734491899
Cockroach,historical,CESM1-BGC,2004,Nov-Apr,15.9,650,571.5414299318741,0.8792945075874986,2524.439869050492,22.640326550810094
Cockroach,historical,CESM1-CAM5,2004,May-Oct,15.9,650,2174.1437466173033,3.3448365332573897,2715.6544717265188,80.05966036006997
Cockroach,historical,CESM1-CAM5,2004,Nov-Apr,15.9,650,541.5107251092153,0.8330934232449466,2715.6544717265188,19.940339639930023
Cockroach,historical,CMCC-CESM,2004,May-Oct,15.9,650,1966.1330777562932,3.0248201196250664,2568.973631588049,76.53379752834984
Cockroach,historical,CMCC-CESM,2004,Nov-Apr,15.9,650,602.8405538317559,0.9274470058950091,2568.973631588049,23.46620247165017
Cockroach,historical,CMCC-CM,2004,May-Oct,15.9,650,1992.7528216451992,3.065773571761845,2693.332329757146,73.98837490748433
Cockroach,historical,CMCC-CM,2004,Nov-Apr,15.9,650,700.579508111947,1.0778146278645337,2693.332329757146,26.011625092515683
Cockroach,historical,CMCC-CMS,2004,May-Oct,15.9,650,1872.186547878666,2.8802869967364093,2510.5903499837787,74.57156632067682
Cockroach,historical,CMCC-CMS,2004,Nov-Apr,15.9,650,638.4038021051126,0.9821596955463271,2510.5903499837787,25.42843367932317
Cockroach,historical,CNRM-CM5,2004,May-Oct,15.9,650,1959.0676824995414,3.0139502807685252,2541.4946043576947,77.08329103435777
Cockroach,historical,CNRM-CM5,2004,Nov-Apr,15.9,650,582.426921858153,0.8960414182433124,2541.4946043576947,22.91670896564222
Cockroach,historical,CSIRO-Mk3-6-0,2004,May-Oct,15.9,650,1888.7471788019247,2.9057648904644995,2624.2214231990893,71.97362090350686
Cockroach,historical,CSIRO-Mk3-6-0,2004,Nov-Apr,15.9,650,735.4742443971646,1.1314988375340995,2624.2214231990893,28.026379096493155
