year,generation_count,valid_days,annual_dd,model,ssp,lon,lat,period
2019,4.0,365,3010.0009999999997,TaiESM1,ssp585,121.53,25.02,future
2020,4.0,365,2946.0191999999997,TaiESM1,ssp585,121.53,25.02,future
2021,4.0,365,2783.9019,TaiESM1,ssp585,121.53,25.02,future
2022,4.0,365,2829.5011000000004,TaiESM1,ssp585,121.53,25.02,future
2023,4.0,365,3243.7077,TaiESM1,ssp585,121.53,25.02,future
2024,5.0,365,3288.6483,TaiESM1,ssp585,121.53,25.02,future
2025,4.0,365,3152.8728,TaiESM1,ssp585,121.53,25.02,future
2026,4.0,365,2725.6616,TaiESM1,ssp585,121.53,25.02,future
2027,5.0,365,3359.2893999999997,TaiESM1,ssp585,121.53,25.02,future
2028,4.0,365,3145.7916,TaiESM1,ssp585,121.53,25.02,future
2029,5.0,365,3391.7263999999996,TaiESM1,ssp585,121.53,25.02,future
2030,4.0,365,3170.492,TaiESM1,ssp585,121.53,25.02,future
2031,4.0,365,3025.5355,TaiESM1,ssp585,121.53,25.02,future
2032,4.0,365,2922.8874,TaiESM1,ssp585,121.53,25.02,future
2033,5.0,365,3292.2936,TaiESM1,ssp585,121.53,25.02,future
2034,5.0,365,3312.8544,TaiESM1,ssp585,121.53,25.02,future
2004,4.0,365,2923.1185,ACCESS-CM2,ssp245,121.53,25.02,historical
2005,4.0,365,2605.4988,ACCESS-CM2,ssp245,121.53,25.02,historical
2006,4.0,365,3131.8183,ACCESS-CM2,ssp245,121.53,25.02,historical
2007,4.0,365,2672.0206,ACCESS-CM2,ssp245,121.53,25.02,historical
2008,4.0,365,2900.7902999999997,ACCESS-CM2,ssp245,121.53,25.02,historical
2009,4.0,365,2912.1848,ACCESS-CM2,ssp245,121.53,25.02,historical
2010,4.0,365,2900.3049,ACCESS-CM2,ssp245,121.53,25.02,historical
2011,4.0,365,2719.9645000000005,ACCESS-CM2,ssp245,121.53,25.02,historical
2012,4.0,365,2946.6929,ACCESS-CM2,ssp245,121.53,25.02,historical
2013,4.0,365,2858.329,ACCESS-CM2,ssp245,121.53,25.02,historical
2014,4.0,365,2888.0176,ACCESS-CM2,ssp245,121.53,25.02,historical
2015,,0,,ACCESS-CM2,ssp245,121.53,25.02,future
2016,,0,,ACCESS-CM2,ssp245,121.53,25.02,future
2017,,0,,ACCESS-CM2,ssp245,121.53,25.02,future
2018,,0,,ACCESS-CM2,ssp245,121.53,25.02,future
2019,4.0,365,2907.3104999999996,ACCESS-CM2,ssp245,121.53,25.02,future
2020,4.0,365,3115.5697999999998,ACCESS-CM2,ssp245,121.53,25.02,future
2021,4.0,365,3078.8338999999996,ACCESS-CM2,ssp245,121.53,25.02,future
2022,4.0,365,3108.0705,ACCESS-CM2,ssp245,121.53,25.02,future
2023,4.0,365,2979.9515,ACCESS-CM2,ssp245,121.53,25.02,future
2024,4.0,365,2912.8884,ACCESS-CM2,ssp245,121.53,25.02,future
2025,4.0,365,3207.0193,ACCESS-CM2,ssp245,121.53,25.02,future
2026,4.0,365,3082.6331999999998,ACCESS-CM2,ssp245,121.53,25.02,future
2027,5.0,365,3293.6209,ACCESS-CM2,ssp245,121.53,25.02,future
2028,5.0,365,3254.1602999999996,ACCESS-CM2,ssp245,121.53,25.02,future
2029,5.0,365,3536.5187,ACCESS-CM2,ssp245,121.53,25.02,future
2030,5.0,365,3275.3943999999997,ACCESS-CM2,ssp245,121.53,25.02,future
2031,4.0,365,3154.6616999999997,ACCESS-CM2,ssp245,121.53,25.02,future
2032,4.0,365,3078.3005999999996,ACCESS-CM2,ssp245,121.53,25.02,future
2033,4.0,365,3053.2039999999997,ACCESS-CM2,ssp245,121.53,25.02,future
2034,5.0,365,3300.9894999999997,ACCESS-CM2,ssp245,121.53,25.02,future
2004,4.0,365,2923.1185,ACCESS-CM2,ssp370,121.53,25.02,historical
2005,4.0,365,2605.4988,ACCESS-CM2,ssp370,121.53,25.02,historical
2006,4.0,365,3131.8183,ACCESS-CM2,ssp370,121.53,25.02,historical
2007,4.0,365,2672.0206,ACCESS-CM2,ssp370,121.53,25.02,historical
2008,4.0,365,2900.7902999999997,ACCESS-CM2,ssp370,121.53,25.02,historical
2009,4.0,365,2912.1848,ACCESS-CM2,ssp370,121.53,25.02,historical
2010,4.0,365,2900.3049,ACCESS-CM2,ssp370,121.53,25.02,historical
2011,4.0,365,2719.9645000000005,ACCESS-CM2,ssp370,121.53,25.02,historical
2012,4.0,365,2946.6929,ACCESS-CM2,ssp370,121.53,25.02,historical
2013,4.0,365,2858.329,ACCESS-CM2,ssp370,121.53,25.02,historical
2014,4.0,365,2888.0176,ACCESS-CM2,ssp370,121.53,25.02,historical
2015,,0,,ACCESS-CM2,ssp370,121.53,25.02,future
2016,,0,,ACCESS-CM2,ssp370,121.53,25.02,future
2017,,0,,ACCESS-CM2,ssp370,121.53,25.02,future
2018,5.0,365,3258.0447999999997,ACCESS-CM2,ssp370,121.53,25.02,future
2019,4.0,365,2859.1943,ACCESS-CM2,ssp370,121.53,25.02,future
2020,4.0,365,2953.1844,ACCESS-CM2,ssp370,121.53,25.02,future
2021,4.0,365,2760.4654,ACCESS-CM2,ssp370,121.53,25.02,future
2022,4.0,365,3050.7958,ACCESS-CM2,ssp370,121.53,25.02,future
2023,5.0,365,3336.6461,ACCESS-CM2,ssp370,121.53,25.02,future
2024,4.0,365,2920.9223,ACCESS-CM2,ssp370,121.53,25.02,future
2025,4.0,365,2630.0296,ACCESS-CM2,ssp370,121.53,25.02,future
2026,4.0,365,3222.5172,ACCESS-CM2,ssp370,121.53,25.02,future
2027,4.0,365,3096.0933999999997,ACCESS-CM2,ssp370,121.53,25.02,future
2028,5.0,365,3277.2069,ACCESS-CM2,ssp370,121.53,25.02,future
2029,4.0,365,3214.1781,ACCESS-CM2,ssp370,121.53,25.02,future
2030,4.0,365,3227.0111999999995,ACCESS-CM2,ssp370,121.53,25.02,future
2031,5.0,365,3272.7461,ACCESS-CM2,ssp370,121.53,25.02,future
2032,5.0,365,3284.9023,ACCESS-CM2,ssp370,121.53,25.02,future
2033,5.0,365,3554.8203999999996,ACCESS-CM2,ssp370,121.53,25.02,future
2034,5.0,365,3305.2869,ACCESS-CM2,ssp370,121.53,25.02,future
2004,4.0,365,2923.1185,ACCESS-CM2,ssp585,121.53,25.02,historical
2005,4.0,365,2605.4988,ACCESS-CM2,ssp585,121.53,25.02,historical
2006,4.0,365,3131.8183,ACCESS-CM2,ssp585,121.53,25.02,historical
2007,4.0,365,2672.0206,ACCESS-CM2,ssp585,121.53,25.02,historical
2008,4.0,365,2900.7902999999997,ACCESS-CM2,ssp585,121.53,25.02,historical
2009,4.0,365,2912.1848,ACCESS-CM2,ssp585,121.53,25.02,historical
2010,4.0,365,2900.3049,ACCESS-CM2,ssp585,121.53,25.02,historical
2011,4.0,365,2719.9645000000005,ACCESS-CM2,ssp585,121.53,25.02,historical
2012,4.0,365,2946.6929,ACCESS-CM2,ssp585,121.53,25.02,historical
2013,4.0,365,2858.329,ACCESS-CM2,ssp585,121.53,25.02,historical
2014,4.0,365,2888.0176,ACCESS-CM2,ssp585,121.53,25.02,historical
2015,,0,,ACCESS-CM2,ssp585,121.53,25.02,future
2016,5.0,365,3351.0243,ACCESS-CM2,ssp585,121.53,25.02,future
